Transfection Efficacy,Ion/Helper Percent,N/P Ratio,Ion/Helper Ratio,Chol/PEG Ratio
33.5,20,4,200,500
5,20,4,100,500
21.5,20,4,50,500
8,20,4,10,500
459.5,20,4,1,500
8.5,20,4,200,100
5.5,20,4,100,100
2.5,20,4,50,100
242,20,4,10,100
2086,20,4,1,100
3.5,20,4,200,10
3,20,4,100,10
8,20,4,50,10
2.5,20,4,10,10
78.5,20,4,1,10
14.5,20,8,200,500
22.5,20,8,100,500
4,20,8,50,500
6.5,20,8,10,500
989.5,20,8,1,500
1.5,20,8,200,100
2,20,8,100,100
3,20,8,50,100
106.5,20,8,10,100
7894,20,8,1,100
4,20,8,200,10
2.5,20,8,100,10
3.5,20,8,50,10
2.5,20,8,10,10
85,20,8,1,10
41,20,12,200,500
11.5,20,12,100,500
6,20,12,50,500
28,20,12,10,500
107,20,12,1,500
2,20,12,200,100
3.5,20,12,100,100
2,20,12,50,100
359.5,20,12,10,100
7802.5,20,12,1,100
6.5,20,12,200,10
3,20,12,100,10
1,20,12,50,10
3,20,12,10,10
60.5,20,12,1,10
33.5,40,4,200,500
8.5,40,4,100,500
5,40,4,50,500
8,40,4,10,500
856,40,4,1,500
3,40,4,200,100
4.5,40,4,100,100
4.5,40,4,50,100
461.5,40,4,10,100
6140.5,40,4,1,100
4.5,40,4,200,10
4,40,4,100,10
2,40,4,50,10
8,40,4,10,10
245.5,40,4,1,10
7.5,40,8,200,500
5,40,8,100,500
11.5,40,8,50,500
6,40,8,10,500
1404,40,8,1,500
3,40,8,200,100
3,40,8,100,100
2,40,8,50,100
548,40,8,10,100
10225,40,8,1,100
4,40,8,200,10
2,40,8,100,10
3.5,40,8,50,10
16.5,40,8,10,10
632,40,8,1,10
8.5,40,12,200,500
7,40,12,100,500
11.5,40,12,50,500
9,40,12,10,500
55.5,40,12,1,500
2,40,12,200,100
4.5,40,12,100,100
3,40,12,50,100
515,40,12,10,100
5645.5,40,12,1,100
3,40,12,200,10
2,40,12,100,10
3.5,40,12,50,10
72,40,12,10,10
343,40,12,1,10
4.5,60,4,200,500
3,60,4,100,500
2.5,60,4,50,500
7.5,60,4,10,500
190.5,60,4,1,500
2,60,4,200,100
3,60,4,100,100
2,60,4,50,100
298,60,4,10,100
1072.5,60,4,1,100
4.5,60,4,200,10
2.5,60,4,100,10
3,60,4,50,10
8.5,60,4,10,10
194,60,4,1,10
4.5,60,8,200,500
3,60,8,100,500
3.5,60,8,50,500
25,60,8,10,500
2076,60,8,1,500
2,60,8,200,100
1.5,60,8,100,100
3,60,8,50,100
321.5,60,8,10,100
4666.5,60,8,1,100
2.5,60,8,200,10
3.5,60,8,100,10
3,60,8,50,10
16.5,60,8,10,10
324.5,60,8,1,10
4,60,12,200,500
2,60,12,100,500
7,60,12,50,500
22.5,60,12,10,500
630,60,12,1,500
2.5,60,12,200,100
1.5,60,12,100,100
7.5,60,12,50,100
304,60,12,10,100
5851.5,60,12,1,100
8,60,12,200,10
8.5,60,12,100,10
6.5,60,12,50,10
46,60,12,10,10
239,60,12,1,10
6,80,4,200,500
2,80,4,100,500
2.5,80,4,50,500
3.5,80,4,10,500
124,80,4,1,500
3,80,4,200,100
2.5,80,4,100,100
3,80,4,50,100
32.5,80,4,10,100
332.5,80,4,1,100
2,80,4,200,10
1.5,80,4,100,10
3,80,4,50,10
2,80,4,10,10
238,80,4,1,10
2.5,80,8,200,500
5,80,8,100,500
2,80,8,50,500
4.5,80,8,10,500
188.5,80,8,1,500
1,80,8,200,100
1,80,8,100,100
3.5,80,8,50,100
44,80,8,10,100
1131.5,80,8,1,100
4,80,8,200,10
2.5,80,8,100,10
2,80,8,50,10
5.5,80,8,10,10
397,80,8,1,10
6.5,80,12,200,500
4.5,80,12,100,500
7,80,12,50,500
11,80,12,10,500
536,80,12,1,500
3.5,80,12,200,100
3,80,12,100,100
3.5,80,12,50,100
11,80,12,10,100
806,80,12,1,100
2,80,12,200,10
2.5,80,12,100,10
4,80,12,50,10
3.5,80,12,10,10
301.5,80,12,1,10
6,20,4,200,500
2,20,4,100,500
13,20,4,50,500
14,20,4,10,500
382,20,4,1,500
16,20,4,200,100
43,20,4,100,100
29,20,4,50,100
24.5,20,4,10,100
369,20,4,1,100
3.5,20,4,200,10
2.5,20,4,100,10
1.5,20,4,50,10
2,20,4,10,10
77,20,4,1,10
10,20,8,200,500
11,20,8,100,500
3,20,8,50,500
39,20,8,10,500
12,20,8,1,500
9,20,8,200,100
3,20,8,100,100
6,20,8,50,100
23,20,8,10,100
315,20,8,1,100
2.5,20,8,200,10
1,20,8,100,10
2.5,20,8,50,10
1.5,20,8,10,10
15,20,8,1,10
23,20,12,200,500
41,20,12,100,500
32,20,12,50,500
4,20,12,10,500
3,20,12,1,500
3,20,12,200,100
11,20,12,100,100
75,20,12,50,100
36.5,20,12,10,100
96,20,12,1,100
2,20,12,200,10
1.5,20,12,100,10
3,20,12,50,10
1.5,20,12,10,10
3.5,20,12,1,10
4,40,4,200,500
3,40,4,100,500
2,40,4,50,500
7,40,4,10,500
256,40,4,1,500
59,40,4,200,100
15,40,4,100,100
146,40,4,50,100
99,40,4,10,100
141,40,4,1,100
2,40,4,200,10
3,40,4,100,10
3.5,40,4,50,10
4,40,4,10,10
70.5,40,4,1,10
3,40,8,200,500
2,40,8,100,500
3,40,8,50,500
14,40,8,10,500
49,40,8,1,500
11,40,8,200,100
3,40,8,100,100
5,40,8,50,100
28,40,8,10,100
150.5,40,8,1,100
2.5,40,8,200,10
2,40,8,100,10
4,40,8,50,10
7.5,40,8,10,10
15.5,40,8,1,10
108,40,12,200,500
17,40,12,100,500
9,40,12,50,500
45,40,12,10,500
7,40,12,1,500
99,40,12,200,100
6,40,12,100,100
121,40,12,50,100
66.5,40,12,10,100
241,40,12,1,100
1.5,40,12,200,10
2,40,12,100,10
33,40,12,50,10
30.5,40,12,10,10
49,40,12,1,10
8,60,4,200,500
4,60,4,100,500
4,60,4,50,500
16,60,4,10,500
206,60,4,1,500
2,60,4,200,100
20,60,4,100,100
302,60,4,50,100
217.5,60,4,10,100
152,60,4,1,100
3.5,60,4,200,10
1.5,60,4,100,10
2.5,60,4,50,10
36.5,60,4,10,10
23.5,60,4,1,10
5,60,8,200,500
87,60,8,100,500
3,60,8,50,500
58,60,8,10,500
98,60,8,1,500
20,60,8,200,100
44,60,8,100,100
24,60,8,50,100
52,60,8,10,100
150,60,8,1,100
2,60,8,200,10
3.5,60,8,100,10
3,60,8,50,10
40.5,60,8,10,10
84.5,60,8,1,10
125,60,12,200,500
246,60,12,100,500
175,60,12,50,500
261,60,12,10,500
9,60,12,1,500
126,60,12,200,100
25,60,12,100,100
124,60,12,50,100
85.5,60,12,10,100
214.5,60,12,1,100
8.5,60,12,200,10
3.5,60,12,100,10
51,60,12,50,10
47.5,60,12,10,10
53.5,60,12,1,10
81,80,4,200,500
10,80,4,100,500
17,80,4,50,500
142,80,4,10,500
460,80,4,1,500
192,80,4,200,100
21,80,4,100,100
87,80,4,50,100
237,80,4,10,100
267.5,80,4,1,100
2.5,80,4,200,10
3.5,80,4,100,10
4,80,4,50,10
82.5,80,4,10,10
69.5,80,4,1,10
43,80,8,200,500
19,80,8,100,500
17,80,8,50,500
400,80,8,10,500
463,80,8,1,500
373,80,8,200,100
3,80,8,100,100
59,80,8,50,100
129,80,8,10,100
469.5,80,8,1,100
2,80,8,200,10
3.5,80,8,100,10
5,80,8,50,10
60.5,80,8,10,10
50,80,8,1,10
251,80,12,200,500
132,80,12,100,500
424,80,12,50,500
929,80,12,10,500
327,80,12,1,500
120,80,12,200,100
